pid,X,Y,Z,Type,Comment,Digitised_by
6,2176.464003,2972.844048,364.7883163,Path,,GO
6,2188.977731,2993.069825,372.4895114,Path,,GO
6,2201.728932,3013.032634,380.5630336,Path,,GO
6,2214.712981,3032.765706,388.9084095,Path,,GO
6,2227.925251,3052.302272,397.4251656,Path,,GO
6,2241.361116,3071.675564,406.0128285,Path,,GO
6,2255.01595,3090.918813,414.5709246,Path,,GO
6,2268.885127,3110.06525,422.9989806,Path,,GO
6,2282.964021,3129.148107,431.1965229,Path,,GO
6,2297.248006,3148.200615,439.0630782,Path,,GO
6,2311.732455,3167.256005,446.4981728,Path,,GO
6,2326.412743,3186.347509,453.4013333,Path,,GO
6,2341.284242,3205.508359,459.6720864,Path,,GO
6,2356.342328,3224.771784,465.2099584,Path,,GO
6,2371.582374,3244.171018,469.914476,Path,,GO
6,2386.999754,3263.739291,473.6851656,Path,,GO
6,2402.589841,3283.509834,476.4215538,Path,,GO
7,2670.878486,3293.828628,573.0785906,Path,,GO
7,2666.587716,3281.033253,574.0221601,Path,,GO
7,2662.350162,3268.182027,574.9304035,Path,,GO
7,2658.130248,3255.297714,575.7623808,Path,,GO
7,2653.892399,3242.403079,576.477152,Path,,GO
7,2649.601037,3229.520883,577.0337771,Path,,GO
7,2645.220586,3216.673891,577.3913161,Path,,GO
7,2640.715469,3203.884867,577.5088291,Path,,GO
7,2636.050111,3191.176573,577.345376,Path,,GO
7,2631.517634,3181.021564,576.7402199,Path,,GO
7,2626.429828,3170.158677,575.779218,Path,,GO
7,2622.647248,3158.97345,575.0161657,Path,,GO
7,2622.030448,3147.851419,575.0048586,Path,,GO
7,2625.993741,3134.818566,576.4863597,Path,,GO
7,2632.762259,3122.64745,578.830321,Path,,GO
7,2640.550666,3110.980216,580.9273508,Path,,GO
7,2647.573624,3099.459011,581.6680569,Path,,GO
7,2651.770222,3090.319941,580.6813022,Path,,GO
7,2655.584698,3081.131063,578.641713,Path,,GO
7,2659.930004,3072.300272,576.2148701,Path,,GO
7,2665.719089,3064.23546,574.066354,Path,,GO
7,2674.852565,3055.595568,571.805448,Path,,GO
7,2685.175466,3048.144045,569.3930985,Path,,GO
7,2696.181795,3041.781133,566.7990137,Path,,GO
7,2707.365555,3036.407073,563.9929016,Path,,GO
7,2720.945189,3031.023427,560.3901999,Path,,GO
7,2734.849798,3026.636375,556.7108838,Path,,GO
7,2749.02831,3023.10507,553.0684859,Path,,GO
7,2763.42965,3020.288667,549.5765384,Path,,GO
7,2778.002745,3018.04632,546.3485738,Path,,GO
7,2792.696522,3016.237182,543.4981244,Path,,GO
7,2807.459906,3014.720408,541.1387225,Path,,GO
7,2822.241826,3013.355151,539.3839007,Path,,GO
7,2834.913527,3012.28385,538.449287,Path,,GO
7,2847.567762,3011.362051,538.0313477,Path,,GO
7,2860.206591,3010.586565,538.066125,Path,,GO
7,2872.832074,3009.954207,538.4896611,Path,,GO
7,2885.446271,3009.461787,539.237998,Path,,GO
7,2898.05124,3009.10612,540.247178,Path,,GO
7,2910.649042,3008.884018,541.4532433,Path,,GO
7,2923.241735,3008.792293,542.7922358,Path,,GO
7,2935.83138,3008.827757,544.2001979,Path,,GO
7,2948.420037,3008.987225,545.6131716,Path,,GO
7,2961.009764,3009.267508,546.9671992,Path,,GO
7,2973.602621,3009.665419,548.1983226,Path,,GO
7,2986.200668,3010.177771,549.2425843,Path,,GO
7,2998.805965,3010.801376,550.0360261,Path,,GO
7,3011.420571,3011.533047,550.5146904,Path,,GO
7,3024.046546,3012.369597,550.6146193,Path,,GO
7,3036.005972,3013.261592,550.425274,Path,,GO
7,3047.996145,3014.217513,550.0572701,Path,,GO
7,3060.00354,3015.174958,549.4966039,Path,,GO
7,3072.014631,3016.071521,548.7292718,Path,,GO
7,3084.01589,3016.8448,547.7412703,Path,,GO
7,3095.993793,3017.43239,546.5185957,Path,,GO
7,3107.934812,3017.771887,545.0472444,Path,,GO
7,3119.825422,3017.800887,543.3132129,Path,,GO
7,3136.399598,3017.085649,540.2776244,Path,,GO
7,3153.143775,3016.097682,536.941926,Path,,GO
7,3169.976967,3015.961317,534.1762255,Path,,GO
7,3186.818189,3017.800887,532.8506309,Path,,GO
7,3199.880509,3021.01619,533.1288732,Path,,GO
7,3212.624022,3025.435901,534.321639,Path,,GO
7,3225.092594,3030.781608,536.2210555,Path,,GO
7,3237.330095,3036.774903,538.6192503,Path,,GO
7,3249.380392,3043.137375,541.3083507,Path,,GO
7,3261.287351,3049.590615,544.0804839,Path,,GO
7,3273.094842,3055.856214,546.7277776,Path,,GO
7,3284.846732,3061.655762,549.0423589,Path,,GO
